job,species,lat,lon
postdoc,smallmouth bass,46.066806,-89.60486
postdoc,smallmouth bass,45.176793,-91.175138
postdoc,smallmouth bass,43.39417,-89.57956
postdoc,smallmouth bass,43.567,-89.661
postdoc,smallmouth bass,43.3088,-89.7249
postdoc,smallmouth bass,43.183921,-90.617472
postdoc,smallmouth bass,42.57183,-90.35655
postdoc,smallmouth bass,42.85939,-90.2085
postdoc,smallmouth bass,43.011358,-89.32442
postdoc,smallmouth bass,42.966072,-89.253989
postdoc,smallmouth bass,42.541777,-88.17504
postdoc,smallmouth bass,45.723787,-87.848463
postdoc,smallmouth bass,45.101784,-87.618451
postdoc,smallmouth bass,45.014641,-87.710543
postdoc,smallmouth bass,44.884794,-87.899299
postdoc,smallmouth bass,43.544748,-89.306877
postdoc,smallmouth bass,44.841261,-87.549761
postdoc,smallmouth bass,44.883234,-87.433509
postdoc,smallmouth bass,45.171078,-87.21514
postdoc,smallmouth bass,45.413935,-87.350321
postdoc,smallmouth bass,45.661304,-86.821376
postdoc,smallmouth bass,45.341023,-86.934852
postdoc,smallmouth bass,45.220445,-87.024158
postdoc,smallmouth bass,43.090902,-87.90017
postdoc,smallmouth bass,44.172918,-87.641016
postdoc,smallmouth bass,44.761875,-85.623177
postdoc,smallmouth bass,46.052598,-89.59097
postdoc,smallmouth bass,43.740054,-87.75
postdoc,smallmouth bass,45.942589,-86.222561
postdoc,smallmouth bass,45.130734,-87.053
postdoc,walleye,42.23422222,-83.1335
postdoc,walleye,42.29494444,-83.09563889
postdoc,walleye,42.46833333,-79.39983333
postdoc,walleye,41.34858333,-83.11197222
postdoc,walleye,41.55369444,-83.66055556
postdoc,walleye,41.69694444,-83.13194444
postdoc,walleye,41.66666667,-83.05694444
postdoc,walleye,41.64916667,-82.96083333
postdoc,walleye,41.66361111,-83.02222222
postdoc,walleye,41.64055556,-83.09111111
postdoc,walleye,41.65277778,-83.06805556
postdoc,walleye,41.67361111,-82.97777778
postdoc,walleye,41.6175,-83.00138889
postdoc,walleye,41.65916667,-83.10916667
postdoc,walleye,42.561,-79.102
postdoc,walleye,41.739,-81.276
postdoc,walleye,42.885,-79.249
postdoc,walleye,42.812,-78.859
postdoc,walleye,42.315,-79.658
postdoc,walleye,46.634,-90.661
postdoc,walleye,44,-76.059
postdoc,walleye,46.499,-89.578
postdoc,walleye,46.275,-84.319
postdoc,walleye,45.786,-87.023
postdoc,walleye,42.599,-82.8
postdoc,walleye,43.326,-86.055
postdoc,walleye,43.9,-83.951
postdoc,walleye,44.149,-77.212
postdoc,walleye,48.915,-88.172
postdoc,walleye,44.52,-87.99
postdoc,walleye,43.2,-75.93
postdoc,walleye,48.873,-88.442
postdoc,walleye,45.115,-80.03
postdoc,walleye,46.66746,-92.2875
postdoc,walleye,41.769,-81.226
postdoc,walleye,44.089,-88.689
PhD,tessellated darters,44.27676,-73.18227
PhD,tessellated darters,44.27807,-73.17744
PhD,tessellated darters,44.6348,-73.26476
PhD,tessellated darters,44.2621,-73.20491
PhD,tessellated darters,44.24732,-73.23112
PhD,tessellated darters,44.25991,-73.21305
PhD,tessellated darters,44.92105,-73.12561
PhD,tessellated darters,44.26529,-73.20498
PhD,tessellated darters,44.567277,-73.328749
PhD,tessellated darters,44.27845,-73.17637
PhD,tessellated darters,44.28183,-73.17336
PhD,tessellated darters,44.55848,-73.30446
PhD,tessellated darters,44.63026,-73.26195
PhD,tessellated darters,44.63041,-73.26317
PhD,tessellated darters,44.54328,-73.15337
PhD,tessellated darters,44.90565,-73.10561
PhD,tessellated darters,44.51031,-73.13092
PhD,tessellated darters,44.51338,-73.12761
PhD,tessellated darters,44.5609,-73.31036
PhD,walleye,44.921844,-73.124013
PhD,walleye,44.618548,-73.216587
PhD,walleye,44.486473,-73.192634
PhD,walleye,44.212206,-73.3202
PhD,walleye,43.583536,-73.38438
PhD,whitefish,44.666765,-73.347175
PhD,whitefish,44.682673,-73.251113
PhD,whitefish,44.675071,-73.225793
PhD,whitefish,44.657078,-73.255175
PhD,whitefish,44.702216,-73.349638
PhD,whitefish,44.14756,-73.367425
PhD,whitefish,44.312189,-73.29769
PhD,whitefish,45.038431,-73.121532
PhD,whitefish,44.668118,-73.380044
PhD,whitefish,44.468833,-73.260645
PhD,whitefish,44.588407,-73.265403
PhD,rainbow smelt,44.601167,-73.2765
PhD,rainbow smelt,44.619019,-73.391538
PhD,rainbow smelt,44.783667,-73.2565
PhD,rainbow smelt,44.180833,-73.394
PhD,rainbow smelt,44.468833,-73.2485
PhD,slimy sculpin,44.1567,-73.387733
PhD,slimy sculpin,44.71345,-73.360533
PhD,slimy sculpin,44.799714,-73.258558
PhD,slimy sculpin,44.686083,-73.226983
PhD,slimy sculpin,44.592017,-73.280983
PhD,slimy sculpin,44.446,-73.238483
PhD,slimy sculpin,44.563914,-73.319209
MSc,mysis,44.683258,-73.37181
MSc,mysis,44.484584,-73.318732
MSc,mysis,44.275046,-73.336389
